GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.saha.amit,com.saha.amit.reactiveOrderService.repository,OrderRepositoryImpl,0,5,0,0,0,1,0,1,0,1
com.saha.amit,com.saha.amit.reactiveOrderService.repository,OrderOutboxRepositoryImpl,0,5,0,0,0,1,0,1,0,1
com.saha.amit,com.saha.amit.reactiveOrderService.model,OutboxStatus,0,21,0,0,0,4,0,1,0,1
com.saha.amit,com.saha.amit.reactiveOrderService.model,OrderOutboxEntity,0,33,0,0,0,11,0,1,0,1
com.saha.amit,com.saha.amit.reactiveOrderService.service,OutboxService,0,80,0,0,0,18,0,4,0,4
com.saha.amit,com.saha.amit.reactiveOrderService.service,OrderService,0,35,1,3,0,6,1,4,0,3
com.saha.amit,com.saha.amit.reactiveOrderService.messanger,DltPublisher,26,109,4,4,1,18,4,7,0,7
com.saha.amit,com.saha.amit.reactiveOrderService.messanger,OrderEventConsumer,105,192,7,5,24,27,11,11,6,10
com.saha.amit,com.saha.amit.reactiveOrderService.messanger,OutboxPublisher,72,143,3,1,15,22,6,9,4,9
com.saha.amit,com.saha.amit.reactiveOrderService.messanger,OrderEventPublisher,10,143,2,4,0,28,2,6,0,5
com.saha.amit,com.saha.amit.reactiveOrderService.messanger,RetryEventPublisher,28,140,1,3,2,22,1,6,0,5
com.saha.amit,com.saha.amit.reactiveOrderService.events,OrderEvent,0,34,0,0,0,4,0,2,0,2
com.saha.amit,com.saha.amit.reactiveOrderService.events,OrderEventProtoMapper,6,66,4,4,0,17,4,4,0,4
com.saha.amit,com.saha.amit.reactiveOrderService.controller,OrderController,0,28,0,0,0,8,0,2,0,2
